name,category,reoccuring,reoccuring_rate,last_done,due_date,effort
Water plants,household,TRUE,1 week,25/7/2026,1/8/2026,1
Finish climwin,science,FALSE,,,,5
Clean bike,household,TRUE,2 week,19/7/2026,3/8/2026,3
Create piano schedule,hobbies,FALSE,,,,3
Baking,hobbies,TRUE,1 month,1/7/2026,19/8/2026,4
Edit photos,hobbies,TRUE,1 month,,15/8/2026,4
Take photos,hobbies,TRUE,1 month,1/7/2026,19/8/2026,7
Aus passport,admin,FALSE,,,1/9/2026,5
UK passport,admin,FALSE,,,7/10/2026,5
Prepare Aus tax 2026,admin,FALSE,,,31/10/2026,4
Data viz,hobbies,TRUE,1 month,,15/8/2026,6
Clean bathroom,household,TRUE,2 week,25/7/2026,8/8/2026,3
Laundry,household,TRUE,1 week,25/7/2026,1/8/2026,1
Frame pictures,household,FALSE,,,,7
Clean rangehood,household,TRUE,3 month,1/6/2026,1/9/2026,4
German focussed study,hobbies,TRUE,1 week,,1/8/2026,4
UK reregister to vote,admin,FALSE,,,,4
Ecogon,coding,TRUE,1 month,,8/8/2026,8
Choice matters RPG,coding,TRUE,1 month,,15/8/2026,8
AI pipelines,coding,TRUE,1 month,,8/8/2026,5
Birding,hobbies,TRUE,1 month,26/7/2026,26/8/2026,8
Clean kitchen,household,TRUE,2 weeks,,1/8/2026,4
